Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Adani Wilmar Limited,Equity,AWL,27 Jan 2022 to 31 Jan 2022,"12,25,46,150",218.00-230.00,1,65
Ags Transact Technologies Limited,Equity,AGSTRA,19 Jan 2022 to 21 Jan 2022,"2,86,74,696",166.00-175.00,10,85
Cms Info Systems Ltd,Equity,CMSINFO,21 Dec 2021 to 23 Dec 2021,"3,75,60,975",205.00-216.00,10,69
Supriya Lifescience Limited,Equity,SUPRIYA,16 Dec 2021 to 20 Dec 2021,"1,45,28,299",265.00-274.00,2,54
Hp Adhesives Limited,Equity,HPAL,15 Dec 2021 to 17 Dec 2021,"45,97,200",262.00-274.00,10,50
Data Patterns (India) Limited,Equity,DATAPATTNS,14 Dec 2021 to 16 Dec 2021,"70,97,285",555.00-585.00,2,25
Medplus Health Services Ltd,Equity,MEDPLUS,13 Dec 2021 to 15 Dec 2021,"1,25,75,154",780.00-796.00,2,18
Metro Brands Limited,Equity,METROBRAND,10 Dec 2021 to 14 Dec 2021,"1,91,45,070",485.00-500.00,5,30
C.E. Info Systems Ltd,Equity,MAPMYINDIA,09 Dec 2021 to 13 Dec 2021,"70,44,762",1000.00-1033.00,2,14
Shriram Properties Limited,Equity,SHRIRAMPPS,08 Dec 2021 to 10 Dec 2021,"2,93,51,639",113.00-118.00,10,125
Rategain Travel Technologies Limited,Equity,RATEGAIN,07 Dec 2021 to 09 Dec 2021,"1,73,51,146",405.00-425.00,1,35
Anand Rathi Wealth Limited,Equity,ARWL,02 Dec 2021 to 06 Dec 2021,"84,75,000",530.00-550.00,5,27
Tega Industries Limited,Equity,TEGA,01 Dec 2021 to 03 Dec 2021,"95,68,636",443.00-453.00,10,33
Star Health And Allied Insurance Company Limited,Equity,STARHEALTH,30 Nov 2021 to 02 Dec 2021,"4,49,08,947",870.00-900.00,10,16
Go Fashion (India) Limited,Equity,GOCOLORS,17 Nov 2021 to 22 Nov 2021,"80,79,491",655.00-690.00,10,21
Tarsons Products Limited,Equity,TARSONS,15 Nov 2021 to 17 Nov 2021,"1,08,44,104",635.00-662.00,2,22
Latent View Analytics Limited,Equity,LATENTVIEW,10 Nov 2021 to 12 Nov 2021,"1,75,25,693",190.00-197.00,1,76
Sapphire Foods India Limited,Equity,SAPPHIRE,09 Nov 2021 to 11 Nov 2021,"96,63,468",1120.00-1180.00,10,12
One 97 Communications Limited,Equity,PAYTM,08 Nov 2021 to 10 Nov 2021,"4,83,89,422",2080.00-2150.00,1,6
Pb Fintech Limited,Equity,POLICYBZR,01 Nov 2021 to 03 Nov 2021,"3,45,12,186",940.00-980.00,2,15
S J S Enterprises Ltd,Equity,SJS,01 Nov 2021 to 03 Nov 2021,"1,05,46,140",531.00-542.00,10,27
Sigachi Industries Ltd,Equity,SIGACHI,01 Nov 2021 to 03 Nov 2021,"53,86,500",161.00-163.00,10,90
Fino Payments Bank Limited,Equity,FINO,29 Oct 2021 to 02 Nov 2021,"1,14,64,664",560.00-577.00,10,25
Fsn Ecommerce Ventures Limited,Equity,NYKAA,28 Oct 2021 to 01 Nov 2021,"2,64,85,479",1085.00-1125.00,1,12
Aditya Birla Sun Life Amc Limited,Equity,ABSLAMC,29 Sep 2021 to 01 Oct 2021,"2,77,99,200",695.00-712.00,5,20
Paras Defence And Space Technologies Limited,OFS,PDSTL,21 Sep 2021 to 23 Sep 2021,"71,40,793",165.00-175.00,10,85
Prevest Denpro Limited,Equity,PREVEST,15 Sep 2021 to 17 Sep 2021,"22,65,600",82.00-84.00,10,1600
Sansera Engineering Limited,Equity,SANSERA,14 Sep 2021 to 16 Sep 2021,"1,21,09,166",734.00-744.00,2,20
Naapbooks Limited,Equity,NBL,01 Sep 2021 to 06 Sep 2021,"5,39,200",71.00-74.00,10,1600
Ami Organics Limited,Equity,AMIORG,01 Sep 2021 to 03 Sep 2021,"65,42,342",603.00-610.00,10,24
Vijaya Diagnostic Centre Ltd,Equity,VIJAYA,01 Sep 2021 to 03 Sep 2021,"2,50,26,626",522.00-531.00,1,28
Aptus Value Housing Finance India Limited,Equity,APTUS,10 Aug 2021 to 12 Aug 2021,"5,51,28,500",346.00-353.00,2,42
Chemplast Sanmar Ltd,Equity,CHEMPLAST,10 Aug 2021 to 12 Aug 2021,"3,99,52,829",530.00-541.00,5,27
Cartrade Tech Limited,Equity,CARTRADE,09 Aug 2021 to 11 Aug 2021,"1,29,72,552",1585.00-1618.00,10,9
Nuvoco Vistas Corporation Limited,Equity,NUVOCO,09 Aug 2021 to 11 Aug 2021,"6,25,00,001",560.00-570.00,10,26
Devyani International Limited,Equity,DEVYANI,04 Aug 2021 to 06 Aug 2021,"11,25,69,719",86.00-90.00,1,165
Exxaro Tiles Limited,Equity,EXXARO,04 Aug 2021 to 06 Aug 2021,"1,14,50,675",118.00-120.00,10,125
Krsnaa Diagnostics Limited,Equity,KRSNAA,04 Aug 2021 to 06 Aug 2021,"71,12,099",933.00-954.00,5,15
Windlas Biotech Limited,Equity,WINDLAS,04 Aug 2021 to 06 Aug 2021,"61,36,252",448.00-460.00,5,30
Rolex Rings Limited,Equity,ROLEX,28 Jul 2021 to 30 Jul 2021,"56,85,556",880.00-900.00,10,16
Glenmark Life Sciences Limited,Equity,GLS,27 Jul 2021 to 29 Jul 2021,"2,15,51,798",695.00-720.00,2,20
Tatva Chintan Pharma Chem Limited,Equity,TATVA,16 Jul 2021 to 20 Jul 2021,"32,61,882",1073.00-1083.00,10,13
Zomato Limited,Equity,ZOMATO,14 Jul 2021 to 16 Jul 2021,"71,92,33,522",72.00-76.00,1,195
Clean Science And Technology Limited,Equity,CLEAN,07 Jul 2021 to 09 Jul 2021,"1,23,02,672",880.00-900.00,1,16
G R Infraprojects Ltd,Equity,GRINFRA,07 Jul 2021 to 09 Jul 2021,"81,23,594",828.00-837.00,5,17
India Pesticides Ltd,Equity,IPL,23 Jun 2021 to 25 Jun 2021,"1,93,10,345",290.00-296.00,1,50
Dodla Dairy Limited,Equity,DODLA,16 Jun 2021 to 18 Jun 2021,"85,07,569",421.00-428.00,10,35
Krishna Institute Of Medical Sciences Limited,Equity,KIMS,16 Jun 2021 to 18 Jun 2021,"1,44,13,073",815.00-825.00,10,18
Shyam Metalics And Energy Limited,Equity,SHYMMETAL,14 Jun 2021 to 16 Jun 2021,"2,10,90,890",303.00-306.00,10,45
Sona Blw Precision Forgings Limited,Equity,SONACOMS,14 Jun 2021 to 16 Jun 2021,"10,71,05,262",285.00-291.00,10,51
Macrotech Developers Limited,Equity,LODHA,07 Apr 2021 to 09 Apr 2021,"3,64,18,219",483.00-486.00,10,30
