,Security Type,Symbol,Issue Period,Face Value,Market Lot
315,Equity,YASHCHEM,07 Jun 2016 to 10 Jun 2016,10.00,6000
316,Equity,SEIL,01 Jun 2016 to 06 Jun 2016,10.00,1600
317,Equity,DARSHAN,02 May 2016 to 11 May 2016,10.00,2000
318,Equity,BAJAJHCARE,27 Apr 2016 to 02 May 2016,10.00,800
319,Equity,GHUSHINE,25 Apr 2016 to 27 Apr 2016,10.00,10000
320,Equity,NINTEC,29 Mar 2016 to 06 Apr 2016,10.00,10000
321,Equity,RRML,31 Mar 2016 to 06 Apr 2016,10.00,3000
322,Equity,RUBY,30 Mar 2016 to 06 Apr 2016,10.00,3000
323,Equity,FRANKLIN,30 Mar 2016 to 05 Apr 2016,10.00,8000
324,Equity,LANCER,31 Mar 2016 to 05 Apr 2016,10.00,10000
325,Equity,SYSCO,31 Mar 2016 to 05 Apr 2016,10.00,10000
326,Equity,CHD,21 Mar 2016 to 23 Mar 2016,10.00,10000
327,Equity,UMIYA,18 Mar 2016 to 22 Mar 2016,10.00,10000
328,Equity,KDML,16 Mar 2016 to 18 Mar 2016,10.00,1200
