Security Type,Symbol,Issue Open,Issue Close,Issue Size No. of Shares,Price Band,Face Value,Market Lot,BSE Code,ISIN,,,,ISIN,BSE Code,ISIN,Scrip Code
Equity,NETPIX,18 Nov 2020 , 23 Nov 2020,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,HIPPOCABS,18 Aug 2020 , 20 Aug 2020,NA,,10,1200,#N/A,#N/A,,,,,,,
Equity,NIRMITEE,31 Mar 2020 , 09 Apr 2020,NA,,10,600,#N/A,#N/A,,,,,,,
Equity,TRANWAY,27 Jan 2020 , 29 Jan 2020,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,VALENCIA,23 Dec 2019 , 27 Dec 2019,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,TRANSPACT,26 Aug 2019 , 28 Aug 2019,NA,,10,1000,#N/A,#N/A,,,,,,,
Equity,KPIGLOBAL,08 Jan 2019 , 11 Jan 2019,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,VIEL,28 Sep 2018 , 12 Oct 2018,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,MAC,19 Sep 2018 , 25 Sep 2018,NA,,10,6000,#N/A,#N/A,,,,,,,
Equity,ASPL,21 Aug 2018 , 30 Aug 2018,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,SALEBHAI,27 Jul 2018 , 01 Aug 2018,NA,,10,1200,#N/A,#N/A,,,,,,,
Equity,GFIL,16 Jul 2018 , 23 Jul 2018,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,SUPERSHAK,17 Jul 2018 , 20 Jul 2018,NA,,10,300,#N/A,#N/A,,,,,,,
Equity,DCSL,27 Apr 2018 , 02 May 2018,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,GARVIND,12 Apr 2018 , 17 Apr 2018,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,ADVITIYA,14 Mar 2018 , 16 Mar 2018,NA,,10,8000,#N/A,#N/A,,,,,,,
Equity,AML,23 Jan 2018 , 25 Jan 2018,NA,,10,6000,#N/A,#N/A,,,,,,,
Equity,CRPRML,18 Jan 2018 , 22 Jan 2018,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,RFMSLTD,29 Dec 2017 , 03 Jan 2018,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,TKC,11 Dec 2017 , 14 Dec 2017,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,MRCEXIM,06 Dec 2017 , 08 Dec 2017,NA,,10,8000,#N/A,#N/A,,,,,,,
Equity,DYNAMIC,04 Dec 2017 , 06 Dec 2017,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,KAARYAFAC,12 Oct 2017 , 17 Oct 2017,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,NOURITRANS,04 Sep 2017 , 07 Sep 2017,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,AMML,07 Aug 2017 , 11 Aug 2017,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,RIDDICORP,12 Jun 2017 , 15 Jun 2017,NA,,10,1000,#N/A,#N/A,,,,,,,
Equity,BHAKTI,17 May 2017 , 22 May 2017,NA,,10,6000,#N/A,#N/A,,,,,,,
Equity,PGL,26 Apr 2017 , 28 Apr 2017,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,KMS,12 Apr 2017 , 17 Apr 2017,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,PRIMECUST,20 Mar 2017 , 23 Mar 2017,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,CHEMCRUX ,15 Mar 2017 , 20 Mar 2017,NA,,10,8000,#N/A,#N/A,,,,,,,
Equity,VOL,23 Dec 2016 , 28 Dec 2016,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,RADHIKAJEW,14 Sep 2016 , 20 Sep 2016,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,NARAYANI,01 Sep 2016 , 06 Sep 2016,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,NINTEC,29 Mar 2016 , 06 Apr 2016,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,RRML,31 Mar 2016 , 06 Apr 2016,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,CHD,21 Mar 2016 , 23 Mar 2016,NA,,10,10000,#N/A,#N/A,,,,,,,
