Security Type,Symbol,Issue Period,Face Value,Market Lot,BSE Code,ISIN
Equity,SMGOLD,03 Oct 2018 to 10 Oct 2018,10,4000,542034,INE00Q901014
Equity,SUNRETAIL,27 Sep 2018 to 08 Oct 2018,10,6000,542025,INE206Z01020
Equity,AKI,28 Sep 2018 to 05 Oct 2018,10,10000,542020,INE642Z01026
Equity,SHUBHAM,28 Sep 2018 to 04 Oct 2018,10,3000,542019,INE01J501010
Equity,AAL,25 Sep 2018 to 01 Oct 2018,10,2000,542012,INE911Z01017
Equity,DOLFIN,27 Sep 2018 to 01 Oct 2018,10,4000,542013,INE666Y01010
Equity,MAC,19 Sep 2018 to 25 Sep 2018,10,6000,#N/A,#N/A
Equity,SKYGOLD,18 Sep 2018 to 24 Sep 2018,10,800,541967,INE01IU01018
Equity,RANJEET,12 Sep 2018 to 17 Sep 2018,10,6000,541945,INE01A501019
Equity,SYNERGY,04 Sep 2018 to 11 Sep 2018,10,2000,#N/A,#N/A
Equity,ASPL,21 Aug 2018 to 30 Aug 2018,10,4000,#N/A,#N/A
Equity,SMEL,09 Aug 2018 to 14 Aug 2018,10,10000,541799,INE266S01011
Equity,DPL,08 Aug 2018 to 13 Aug 2018,10,3000,543594,INE0MC401013
Equity,SALEBHAI,27 Jul 2018 to 01 Aug 2018,10,1200,#N/A,#N/A
Equity,GFIL,16 Jul 2018 to 23 Jul 2018,10,1600,#N/A,#N/A
Equity,SUPERSHAK,17 Jul 2018 to 20 Jul 2018,10,300,#N/A,#N/A
Equity,RAWEDGE,05 Jul 2018 to 10 Jul 2018,10,1600,541634,INE960Z01014
Equity,RAJNISH,25 Jun 2018 to 29 Jun 2018,10,1200,541601,INE685Z01033
Equity,PALMJEWELS,25 May 2018 to 04 Jun 2018,10,4000,541444,INE838Z01012
Equity,WAA,31 May 2018 to 04 Jun 2018,10,800,541445,INE799N01012
Equity,NGIL,23 May 2018 to 29 May 2018,10,4000,541418,INE236Y01012
Equity,ARIHANTINS,23 May 2018 to 28 May 2018,10,4000,#N/A,#N/A
Equity,MEGASTAR,14 May 2018 to 16 May 2018,10,4000,541352,INE00EM01016
Equity,UHZAVERI,08 May 2018 to 14 May 2018,10,3000,541338,INE556Z01010
Equity,MILEFUR,07 May 2018 to 11 May 2018,10,3000,541337,INE424Z01011
Equity,AKSHAR,27 Apr 2018 to 03 May 2018,10,3000,541303,INE256Z01025
Equity,INDOUS,30 Apr 2018 to 03 May 2018,10,2000,541304,INE250Z01010
Equity,DCSL,27 Apr 2018 to 02 May 2018,10,2000,#N/A,#N/A
Equity,DLCL,25 Apr 2018 to 27 Apr 2018,10,4000,541299,INE871Z01013
Equity,GARVIND,12 Apr 2018 to 17 Apr 2018,10,10000,#N/A,#N/A
Equity,TRL,22 Mar 2018 to 27 Mar 2018,10,4000,541228,INE459Z01017
Equity,OBCL,22 Mar 2018 to 26 Mar 2018,10,4000,541206,INE426Z01016
Equity,LEX,12 Mar 2018 to 23 Mar 2018,10,2000,541196,INE860Y01019
Equity,YASHO,19 Mar 2018 to 21 Mar 2018,10,1200,541167,INE616Z01012
Equity,ACTIVE,12 Mar 2018 to 16 Mar 2018,10,2000,541144,INE380Z01015
Equity,ADVITIYA,14 Mar 2018 to 16 Mar 2018,10,8000,#N/A,#N/A
Equity,RIDINGS,14 Mar 2018 to 16 Mar 2018,10,8000,#N/A,#N/A
Equity,SHREESHAY,09 Mar 2018 to 13 Mar 2018,10,8000,541112,INE452Z01012
Equity,INFLAME,06 Mar 2018 to 08 Mar 2018,10,2000,541083,INE464Z01017
Equity,EIS,05 Mar 2018 to 07 Mar 2018,10,160,#N/A,#N/A
Equity,ANGEL,20 Feb 2018 to 23 Feb 2018,10,4000,541006,INE339Z01011
Equity,BHATIA,08 Feb 2018 to 12 Feb 2018,10,1000,540956,INE341Z01025
Equity,TDSL,07 Feb 2018 to 12 Feb 2018,10,3000,540955,INE773Y01014
Equity,KENVI,02 Feb 2018 to 07 Feb 2018,10,3000,540953,INE923Y01023
